GEOID,NAME,B03002_001E,B03002_012E,B03002_004E,pct_hisp,pct_aa
08005081400,"Census Tract 814, Arapahoe County, Colorado",4236,635,523,0.14990557129367327,0.12346553352219075
08005081500,"Census Tract 815, Arapahoe County, Colorado",2905,35,83,0.012048192771084338,0.02857142857142857
08005081600,"Census Tract 816, Arapahoe County, Colorado",5215,1174,525,0.22511984659635667,0.10067114093959731
08005081700,"Census Tract 817, Arapahoe County, Colorado",3005,43,172,0.014309484193011647,0.05723793677204659
08005081800,"Census Tract 818, Arapahoe County, Colorado",5646,3736,707,0.6617074034714843,0.12522139567835636
08005081900,"Census Tract 819, Arapahoe County, Colorado",7081,2928,1339,0.41350091794944216,0.18909758508685215
08005082000,"Census Tract 820, Arapahoe County, Colorado",4162,1472,1087,0.3536761172513215,0.26117251321480056
08005082100,"Census Tract 821, Arapahoe County, Colorado",7130,2315,1335,0.3246844319775596,0.18723702664796635
08005082200,"Census Tract 822, Arapahoe County, Colorado",6531,1752,1888,0.26825907211759303,0.2890828357066299
08005082300,"Census Tract 823, Arapahoe County, Colorado",4084,1639,215,0.4013222331047992,0.05264446620959843
08005082400,"Census Tract 824, Arapahoe County, Colorado",4053,1425,580,0.3515914137675796,0.14310387367382185
08005082500,"Census Tract 825, Arapahoe County, Colorado",2246,551,229,0.24532502226179875,0.10195903829029386
08005082600,"Census Tract 826, Arapahoe County, Colorado",5374,844,1886,0.15705247487904728,0.3509490137700037
08005082700,"Census Tract 827, Arapahoe County, Colorado",3654,896,610,0.24521072796934865,0.16694033935413247
08005082800,"Census Tract 828, Arapahoe County, Colorado",4899,1315,835,0.26842212696468665,0.17044294754031436
08005082900,"Census Tract 829, Arapahoe County, Colorado",4774,1239,863,0.2595307917888563,0.18077084206116464
08005083000,"Census Tract 830, Arapahoe County, Colorado",3758,567,554,0.15087812666311867,0.14741883980840872
08005083100,"Census Tract 831, Arapahoe County, Colorado",6772,1432,1197,0.21145894861193149,0.17675723567631424
08005083200,"Census Tract 832, Arapahoe County, Colorado",9372,1122,892,0.11971830985915492,0.09517712334613743
08005083300,"Census Tract 833, Arapahoe County, Colorado",4526,655,490,0.14471939902783915,0.10826336721166593
08005083400,"Census Tract 834, Arapahoe County, Colorado",7097,1094,1069,0.15414964069325066,0.15062702550373397
08005083500,"Census Tract 835, Arapahoe County, Colorado",6318,1692,1057,0.2678062678062678,0.16729977841088953
08005083600,"Census Tract 836, Arapahoe County, Colorado",3832,750,359,0.19572025052192066,0.0936847599164927
08005083700,"Census Tract 837, Arapahoe County, Colorado",4118,288,411,0.06993686255463817,0.09980573093734822
08005083800,"Census Tract 838, Arapahoe County, Colorado",3043,484,617,0.15905356556030234,0.20276043378245154
08005083900,"Census Tract 839, Arapahoe County, Colorado",2843,381,78,0.1340133661625044,0.02743580724586704
08005084000,"Census Tract 840, Arapahoe County, Colorado",2644,524,35,0.19818456883509833,0.0132375189107413
08005084100,"Census Tract 841, Arapahoe County, Colorado",4555,844,502,0.18529088913282107,0.11020856201975851
08005084200,"Census Tract 842, Arapahoe County, Colorado",3785,852,421,0.2250990752972259,0.11122853368560105
08005084300,"Census Tract 843, Arapahoe County, Colorado",3523,648,443,0.18393414703377803,0.1257451036048822
08005084400,"Census Tract 844, Arapahoe County, Colorado",2808,664,324,0.23646723646723647,0.11538461538461539
08005084500,"Census Tract 845, Arapahoe County, Colorado",3004,729,427,0.24267643142476697,0.14214380825565912
08005084600,"Census Tract 846, Arapahoe County, Colorado",5421,1062,469,0.19590481460985057,0.08651540306216565
08005084700,"Census Tract 847, Arapahoe County, Colorado",4276,656,426,0.15341440598690365,0.09962581852198316
08005084800,"Census Tract 848, Arapahoe County, Colorado",3419,289,192,0.08452763966071951,0.056156770985668326
08005084900,"Census Tract 849, Arapahoe County, Colorado",3333,134,78,0.04020402040204021,0.023402340234023402
08005085000,"Census Tract 850, Arapahoe County, Colorado",2036,205,95,0.1006876227897839,0.046660117878192534
08005085100,"Census Tract 851, Arapahoe County, Colorado",6880,372,681,0.05406976744186046,0.09898255813953488
08005085200,"Census Tract 852, Arapahoe County, Colorado",2980,179,73,0.060067114093959734,0.024496644295302013
08005085300,"Census Tract 853, Arapahoe County, Colorado",2704,328,115,0.12130177514792899,0.04252958579881657
08005085400,"Census Tract 854, Arapahoe County, Colorado",4586,602,222,0.13126907980811164,0.04840819886611426
08005085500,"Census Tract 855, Arapahoe County, Colorado",5594,661,281,0.11816231676796568,0.05023239184840901
08005085600,"Census Tract 856, Arapahoe County, Colorado",3390,362,150,0.10678466076696165,0.04424778761061947
08005085700,"Census Tract 857, Arapahoe County, Colorado",4468,900,341,0.20143240823634737,0.07632050134288272
08005085800,"Census Tract 858, Arapahoe County, Colorado",1759,235,99,0.13359863558840251,0.056281978396816375
08005085900,"Census Tract 859, Arapahoe County, Colorado",5393,608,636,0.11273873539773781,0.11793065084368626
08005086000,"Census Tract 860, Arapahoe County, Colorado",8350,1504,975,0.1801197604790419,0.11676646706586827
08005086100,"Census Tract 861, Arapahoe County, Colorado",4798,763,399,0.1590245935806586,0.08315964985410587
08005086200,"Census Tract 862, Arapahoe County, Colorado",6740,668,554,0.09910979228486647,0.08219584569732938
08005086300,"Census Tract 863, Arapahoe County, Colorado",4680,570,300,0.12179487179487179,0.0641025641025641
08005086400,"Census Tract 864, Arapahoe County, Colorado",2090,93,31,0.04449760765550239,0.014832535885167464
08005086500,"Census Tract 865, Arapahoe County, Colorado",5247,522,423,0.09948542024013722,0.08061749571183534
08005086600,"Census Tract 866, Arapahoe County, Colorado",5812,405,159,0.06968341362697866,0.02735719201651755
08005086700,"Census Tract 867, Arapahoe County, Colorado",5034,293,294,0.05820421136273341,0.058402860548271755
08005086800,"Census Tract 868, Arapahoe County, Colorado",7362,707,2470,0.09603368649823417,0.33550665580005434
08005086900,"Census Tract 869, Arapahoe County, Colorado",2945,472,898,0.16027164685908318,0.30492359932088287
08005087000,"Census Tract 870, Arapahoe County, Colorado",5331,1212,899,0.22734946539110862,0.16863627837178766
08005087100,"Census Tract 871, Arapahoe County, Colorado",2695,422,732,0.15658627087198515,0.2716141001855288
08005087200,"Census Tract 872, Arapahoe County, Colorado",4249,322,938,0.0757825370675453,0.22075782537067545
08005087300,"Census Tract 873, Arapahoe County, Colorado",8277,2676,1959,0.32330554548749546,0.23667995650598042
08007940400,"Census Tract 9404, Archuleta County, Colorado",1283,199,16,0.15510522213561964,0.012470771628994544
08007974200,"Census Tract 9742, Archuleta County, Colorado",5685,906,162,0.15936675461741426,0.02849604221635884
08007974300,"Census Tract 9743, Archuleta County, Colorado",3430,797,36,0.23236151603498542,0.010495626822157435
08007974400,"Census Tract 9744, Archuleta County, Colorado",2510,469,0,0.18685258964143425,0
08009964600,"Census Tract 9646, Baca County, Colorado",1665,219,0,0.13153153153153152,0
08009964700,"Census Tract 9647, Baca County, Colorado",1898,162,35,0.08535300316122234,0.0184404636459431
08011966700,"Census Tract 9667, Bent County, Colorado",5809,1858,202,0.3198485109313135,0.03477362713031503
08013012101,"Census Tract 121.01, Boulder County, Colorado",4775,158,20,0.03308900523560209,0.004188481675392671
08013012102,"Census Tract 121.02, Boulder County, Colorado",7529,855,12,0.11356089786160181,0.00159383716296985
08013012103,"Census Tract 121.03, Boulder County, Colorado",3871,435,25,0.11237406354947042,0.006458279514337381
08013012104,"Census Tract 121.04, Boulder County, Colorado",2666,313,0,0.11740435108777195,0
08013012105,"Census Tract 121.05, Boulder County, Colorado",5590,1148,31,0.20536672629695885,0.00554561717352415
08013012201,"Census Tract 122.01, Boulder County, Colorado",3832,148,85,0.038622129436325675,0.022181628392484342
08013012202,"Census Tract 122.02, Boulder County, Colorado",6551,740,157,0.11295985345748741,0.023965806747061516
08013012203,"Census Tract 122.03, Boulder County, Colorado",7442,1458,17,0.19591507659231389,0.0022843321687718355
08013012204,"Census Tract 122.04, Boulder County, Colorado",4104,352,56,0.08576998050682261,0.01364522417153996
08013012300,"Census Tract 123, Boulder County, Colorado",6912,747,70,0.10807291666666667,0.010127314814814815
08013012401,"Census Tract 124.01, Boulder County, Colorado",6169,694,151,0.11249797373966607,0.024477224833846654
08013012501,"Census Tract 125.01, Boulder County, Colorado",2621,195,17,0.07439908431896222,0.0064860740175505536
08013012505,"Census Tract 125.05, Boulder County, Colorado",4114,217,0,0.05274671852211959,0
08013012507,"Census Tract 125.07, Boulder County, Colorado",4469,336,62,0.07518460505705975,0.013873349742671738
